name,lat,lon,population,place
Мортык,53.5622505,72.9286611,388,village
Тельжан,53.660759,72.602715,346,village
Мальцево,54.2653401,68.3061657,174,village
Енбек,54.2487695,68.2516418,106,village
Есильское,54.2562283,68.2175455,135,village
Барневка,55.1645146,69.4042147,157,village
Семипалатное,54.4478457,68.6460797,203,village
Писаревка,54.63208,70.732681,319,village
Бастомар,54.528683,70.796867,472,village
Веселовка,54.577446,70.596321,180,village
Новоалександровка,54.496716,68.504807,180,village
Шаховское,54.7318153,69.3548342,740,village
Стрельниковка,53.9887247,68.3268526,150,village
Аксу,53.8229855,67.8078908,160,village
Жанасу,53.8326866,67.8870696,127,village
Карасай батыра,53.125417,68.0360983,259,village
Агынтай батыра,53.0620564,68.0518484,392,village
Орловка,53.1711642,68.0668688,92,village
Чистое,55.101256,68.3427794,118,village
Шалкар,53.1775137,68.5159591,487,village
Жарколь,52.5101306,66.7043414,59,village
Сухорабовка,53.5736874,67.6029499,479,village
Становое,54.8205997,68.3186393,187,village
Александровка,54.2347464,68.1394609,427,village
Дайындык,54.5021537,69.0646453,177,village
Береке,54.9407252,69.8863836,154,village
Калугино,55.035027,68.7929902,232,village
Беловка,55.0665882,68.799088,210,village
Коваль,55.0501661,68.2970537,46,village
Токты,52.568994,67.4070882,99,village
Литвиновка,52.5853205,67.4967383,170,village
Салкынколь,52.5590287,67.4251127,242,village
Рухловка,52.7000541,67.6423072,50,village
Гусаковка,52.7506068,67.6686143,619,village
Матвеевка,52.8346101,67.8094625,177,village
Константиновка,52.8362175,67.8628921,802,village
Целинное,52.9028195,68.0451965,130,village
Горное,52.9292208,68.2443023,95,village
Красногорка,53.2729127,68.2108926,259,village
Галицино,53.3412386,68.2065367,36,village
Новоукраинка,53.3163262,67.9793858,858,village
Косколь,53.3417894,67.8201055,38,village
Заря,53.5154604,68.5305905,83,village
Жумысшы,53.5017169,68.5305691,70,village
Уголки,53.3217738,68.4860659,58,village
Комаровка,53.3221071,68.2865523,344,village
Акан сере,53.3400471,68.3157348,80,village
Береславка,52.7426055,67.3025035,112,village
Новосветловка,52.7572822,67.5023173,367,village
Баян,53.0021046,67.9594087,139,village
Шолакозек,53.5661593,68.1713676,63,village
Егиндыагаш,53.6037617,68.0490588,90,village
Сарыбулак,53.4724157,68.1568193,69,village
Шоккарагай,53.4446403,68.0835846,111,village
Междуозёрное,53.4500592,67.9525852,40,village
Колесниковка,53.3616932,67.9582929,62,village
Елецкое,53.405541,67.9525852,321,village
Айыртауское,53.3851202,67.9955864,101,village
Сырымбет,53.4818786,67.9940414,430,village
Сулуколь,53.5268526,67.8197837,96,village
Прекрасное,53.3757157,67.4134022,10,village
Никольское,53.2335395,67.518239,109,village
Никольско-Бурлукское,53.2128178,67.6370072,253,village
Всеволодовка,53.4379945,67.4226665,148,village
Бурлык,53.336985,67.4790358,130,village
Аксёновка,53.207986,67.4355411,293,village
Светлое,53.7956828,68.2084894,246,village
Укили Ыбырай,53.7074529,68.5959291,152,village
Кумтоккен,53.7638582,68.5752975,243,village
Камсакты,53.5797163,68.4649343,266,village
Бирлестик,53.5842513,68.3524274,389,village
Альжан,53.0645321,68.643372,152,village
Заря,53.0150673,68.6056709,136,village
Ботай,53.3041595,67.6472211,38,village
Каратал,53.3910836,67.6432514,285,village
Высокое,53.2772496,67.6776695,61,village
Каракамыс,53.6986121,68.268013,147,village
Даукара,53.6542022,68.1358337,274,village
Жаксы Жалгызтау,52.6421651,68.2249474,132,village
Сарысай,53.0826834,67.7342748,70,village
Петропавловка,53.0067014,67.695136,46,village
Карловка,53.0192238,67.7919101,42,village
Бурлык,53.1656074,67.9684638,56,village
Кутузовка,53.1910447,67.8534507,148,village
Кирилловка,53.1477267,67.7912511,749,village
Каменный Брод,53.0945653,67.6908874,497,village
Сарытубек,53.2005831,67.9444312,43,village
Уялы,54.1629868,72.2976779,350,village
Аксары,54.2971934,72.2644614,166,village
Ульгили,53.597446,72.0809125,252,village
Тугуржап,53.5150011,71.9287347,37,village
Майское,53.8957917,72.2666072,411,village
Кызылту,53.718933,71.5046024,387,village
Кулыколь,53.7199259,71.9975228,671,village
Карашилик,53.7794565,72.0460653,266,village
Киши Караой,54.1047789,71.3787102,320,village
Байтус,53.989253,71.1807632,125,village
Кенащы,54.0204148,71.0951686,203,village
Ащиколь,53.5948481,71.1249303,321,village
Безлесное,54.1278581,69.456017,88,village
Каратомар,54.5032807,69.2173004,225,village
Амангельды,54.3259971,69.4720244,42,village
Степное,54.229668,69.52775,142,village
Южное,54.1012926,69.6309163,85,village
Борки,54.6260838,69.7526908,10,village
Барыколь,54.1755982,69.9659586,53,village
Кучковка,54.1470035,69.7863578,91,village
Добровольское,54.4030707,69.5706224,249,village
Новороссийское,54.3709461,69.9273991,52,village
Талапкер,54.431638,68.3590364,41,village
Трудовое,54.5783551,68.4486866,273,village
Владимировка,54.4874042,68.1685352,41,village
Поляковка,54.3841563,68.4238815,43,village
Амангельдинское,54.355137,68.3443915,475,village
Жаркайын,54.1861968,67.8326797,80,village
Мектеп,54.0520573,67.6722836,171,village
Новоандреевка,54.6872164,68.4011149,58,village
Бостандык,54.5696112,68.1605315,214,village
Бексеит,54.6072476,68.0857944,356,village
Луговое,54.3862681,68.5906505,40,village
Тонкошуровка,53.9038831,68.6848497,93,village
Степное,53.8285471,68.745017,79,village
Ивано-Петровка,53.9233972,67.9904365,284,village
Лузинка,53.9194799,67.8829765,97,village
Актас,53.8510077,68.2069015,170,village
Карагай,53.8888116,68.2977962,121,village
Алабие,54.1109933,68.2352685,103,village
Черуновка,54.0460356,67.9920673,175,village
Тауагаш,54.3952761,67.8949713,283,village
Бирлик,54.2427105,68.1035614,155,village
Мадениет,54.2982828,68.1356191,29,village
Леонидовка,54.0768654,68.6955785,56,village
Советское,54.0462372,68.4159851,209,village
Амангельды,54.1774318,67.9381871,60,village
Сарыман,54.310565,67.8216075,28,village
Ульги,54.3670585,67.1712684,27,village
Баян,54.3207286,67.4699591,440,village
Баймаганбета Изтолина,54.2579298,67.2894144,60,village
Архангелка,54.3835815,67.3846864,434,village
Айтуар,54.3206785,67.2158145,158,village
Озерное,54.2726424,66.2366795,430,village
Каракамыс,54.2530914,66.3540744,59,village
Сабит,54.4945581,66.6364574,96,village
Ольговка,54.3638081,66.6235828,36,village
Жанажол,54.3931274,66.490159,242,village
Бауманское,54.2327534,66.2374734,160,village
Майбалык,54.281738,66.7903089,164,village
Октябрь,54.6526087,67.7450037,25,village
Симаки,54.7320175,67.8026175,49,village
Новорыбинка,54.6625883,67.4094486,359,village
Миролюбово,54.6953399,67.4625349,145,village
Петровка,54.4954928,66.9772911,226,village
Мирное,54.5739026,67.3085975,416,village
Железное,54.7768806,67.3440456,361,village
Троицкое,54.4676933,67.6668548,535,village
Озерное,53.8539284,68.8841164,321,village
Малое Белое,54.9002536,69.2763519,53,village
Гончаровка,55.2013817,69.4533562,97,village
Новогеоргиевка,55.0711684,69.8627042,29,village
Кондыбай,53.7484063,72.5124692,401,village
Кобенсай,53.7464014,72.7824497,373,village
Кузексай,53.8505015,72.6961898,108,village
Жас Улан,53.4194052,72.7573012,273,village
Карашилик,53.4267191,72.552123,145,village
Коктерек,53.4759917,73.1992435,251,village
Каратерек,53.9206425,73.5117101,181,village
Жаскайрат,53.0771667,73.5541105,139,village
Тлеусай,53.7318571,73.2736587,200,village
Амангельды,53.8235571,73.3421087,37,village
Кулыколь,52.7802874,73.7572288,718,village
Каратал,52.7425276,73.7021255,204,village
Береке,52.7437356,73.590846,152,village
Суатколь,54.1412345,66.9830417,10,hamlet
Жаркен,54.0364451,67.0563389,248,village
Интымак,53.9418918,67.0826911,50,village
Дмитриевка,53.8988767,67.004671,454,village
Акжан,53.8024377,66.6982555,343,village
Рассвет,53.803971,66.5284824,35,village
Ракитное,53.9301611,66.8209458,50,village
Степное,53.8946412,66.8524809,469,village
Дружба,53.8469571,66.9298267,266,village
Северное,53.9985845,66.5322507,10,hamlet
Докучаево,53.911973,66.4887856,613,village
Аймак,53.4569335,70.1337146,383,village
Талдыколь,53.5002747,70.7162904,7,village
Золоторунное,53.5743399,70.7659435,16,village
Калиновка,53.7243418,70.0766372,327,village
Константиновка,53.6939115,70.1492929,209,village
Караагаш,53.6301601,70.1149606,665,village
Красный Яр,55.3697588,69.3669891,61,village
Кустовое,55.1987611,69.3896699,263,village
Красноярка,55.2399127,69.4346237,324,village
Желяково,55.2908588,69.3978667,115,village
Караагаш,54.2256541,66.9441175,48,village
Жамбыл,54.2018675,66.9842842,323,village
Есперли,54.1121254,66.7873907,121,village
Сумное,55.3315612,69.0555095,149,village
Остановочный пункт 2603 км,54.8760221,68.8476544,32,village
Николаевка,55.196128,68.8156986,15,village
Дубровное,55.2754486,68.9101982,160,village
Орёл,54.9648539,68.3253908,37,village
Токаревка,54.7259833,68.2347107,113,village
Минкесер,54.5993676,67.9434871,796,village
Дачное,54.6272266,67.5014376,30,village
Степное,54.4578155,67.8199768,82,village
Раздольное,54.5642246,67.7935409,94,village
Новодубровное,54.8076973,67.9845142,163,village
Михайловка,54.9382866,67.8810882,448,village
2629 км,54.855286,69.2117075,,hamlet
Сарыбулак,52.8805271,67.3163999,40,village
Мадениет,53.0012686,67.2152721,9,village
Кокалажар,52.9259016,67.0963322,419,village
Чернозубовка,52.6929291,66.6287558,271,village
Стерлитамак,52.7725291,66.5557902,31,village
Григорьевка,52.8004769,66.819501,25,village
Возвышенка,52.7977292,66.7524333,333,village
Брилёвка,52.767789,66.7150712,24,village
Раисовка,52.9180264,67.4657893,606,village
Жанасу,53.1061326,67.452007,46,village
Урожайное,52.7713953,66.5026458,732,village
Степное,52.7552454,66.4173739,36,village
Чернобаевка,52.8799684,67.012886,161,village
Берёзовка,52.9062602,66.9168747,240,village
Сарыадыр,52.7906559,67.0625215,130,village
Новоселовка,53.2008338,67.0367521,895,village
Мукур,53.2926321,67.0654879,80,village
Шукырколь,53.1243801,67.3033995,391,village
Караагаш,53.0428349,67.154194,52,village
15 лет Казахстана,53.2095928,67.3511423,126,village
Конырсу,52.3559913,66.7162477,22,village
Большой Талсай,52.470635,66.76267,16,village
Симоновка,52.6464487,66.920633,31,village
Князевка,52.7283691,67.1480017,13,village
Дубровка,52.6041019,67.1266433,17,village
Гаршино,52.5535027,67.0469561,273,village
Пески,53.2529089,66.9178988,605,village
Конюхово,55.1299613,70.6509694,309,village
Малая Возвышенка,54.4139083,70.818371,19,village
Александровка,54.4323963,71.0879637,251,village
Дюсеке,54.7244325,70.9100427,78,village
Сарытомар,54.6385889,70.1635414,216,village
Жастар,54.566559,70.2167163,194,village
Куралай,55.0372697,70.8846804,228,village
Рощино,54.6666837,70.3587198,85,village
Сулышок,54.7612095,70.6189584,181,village
Успенка,54.7637599,70.5079364,367,village
Уваковское,54.7205307,70.6706714,57,village
Косколь,54.7043543,70.668869,23,village
Узунколь,54.462456,70.733238,475,village
Куломзино,55.2500656,70.4713725,117,village
Урожайное,54.8200002,70.7329845,19,village
Пролетарка,54.9735743,70.5453157,250,village
Садовка,53.4370231,67.3325872,61,village
Рясинка,53.4453564,67.2083044,79,village
Двойники,53.5838565,67.3073959,124,village
Афанасьевка,53.5032357,67.24092,400,village
Жалтыр,53.9634836,67.2003221,231,village
Мерген,53.8805149,67.1992492,339,village
Коноваловка,53.6485045,67.195301,58,village
Городецкое,53.7382034,67.1063804,387,village
Баганаты,53.7274141,67.2249126,28,village
Коктерек,53.9623475,67.6798582,71,village
Аканбарак,53.9128829,67.3781633,688,village
Повозочное,54.2425601,67.5386236,701,village
Ортаколь,54.2300004,67.4782312,32,village
Меней,54.2429612,67.6168584,108,village
Бирлик,54.1420941,67.6818752,252,village
Енбек,53.7556128,67.95825,56,village
Белоглинка,53.6770612,67.826972,21,village
Социал,53.6880668,67.3055076,104,village
Ровное,53.7714425,67.6053571,73,village
Алкаагаш,53.8114974,67.5909376,151,village
Кенес,54.0476734,67.5974607,248,village
Астаган,54.1140624,67.4065303,125,village
Ступинка,54.0147291,67.3786352,227,village
Семиполка,54.1257332,67.2814749,522,village
Балуан,54.2084526,67.1645093,40,village
Крещенка,53.4282278,67.0562982,465,village
Белоградовка,53.4953477,66.9956589,99,village
Ольгинка,53.532911,67.4555396,266,village
Богатыровка,53.8320424,69.3324422,98,village
Озерное,53.5066304,70.280528,150,village
Северное,53.6988916,69.6248245,49,village
Краснодольское,53.9555301,68.8276289,156,village
Южное,53.9757772,68.7356184,125,village
Новоберёзовка,53.6939115,70.3287649,34,village
Шункырколь,53.8672569,70.8470535,164,village
