name,lat,lon,population,elevation_m,dist_to_river_km,elev_above_river_m,swe_mar2024_mm,swe_mar_pct_norm,precip_novmar_mm,precip_novmar_pct_norm
Гайдуково,55.322174,68.7733,51,136.0,35.34,42.0,61.7,73.4,110.9,81.4
Вагулино,55.150024,69.259735,613,101.0,1.62,7.0,57.8,71.0,111.3,81.3
Бугровое,55.048939,69.720924,564,138.0,23.97,52.0,50.1,61.3,112.2,82.7
Долматово,55.3167772,69.4561447,320,91.0,0.48,8.0,59.4,71.3,112.0,81.4
Байтерек,54.7371426,69.0677151,1666,109.0,1.56,15.0,43.3,57.1,110.1,81.8
Рассвет,54.475815,68.68837,671,141.0,1.62,38.0,35.4,50.6,105.0,79.5
Байтерек,54.9012441,70.0339128,658,135.0,49.83,49.0,39.7,49.0,109.2,81.4
Рявкино,54.979862,70.095688,47,134.0,48.14,49.0,39.4,50.5,108.8,81.2
Лебяжье,55.039898,70.839371,417,122.0,88.38,41.0,29.4,36.9,98.7,74.9
Метлишино,54.969437,69.623795,195,139.0,26.46,49.0,52.7,63.3,112.2,82.4
Ганькино,54.869091,70.119324,168,122.0,56.33,36.0,38.4,47.1,107.9,80.6
Тюменка,54.885094,69.778336,293,139.0,39.93,55.0,36.6,49.2,111.4,82.6
Толмачевка,54.8367908,69.3836859,77,139.0,17.54,33.0,46.8,57.3,111.6,82.1
Плоское,54.774399,69.478127,144,134.0,26.03,28.0,46.5,56.2,111.2,82.0
Гаврино,55.177998,69.963959,126,135.0,30.63,54.0,53.0,65.1,111.2,81.7
Зарослое,55.068386,70.231606,30,133.0,50.91,52.0,41.3,51.6,108.4,80.8
Ташкентка,55.0608911,69.2294455,243,131.0,0.69,41.0,56.9,71.0,111.6,81.9
Новотроицкое,54.941441,70.222183,227,133.0,57.27,48.0,35.9,44.6,106.6,79.9
Октябрьское,55.0304739,70.4233151,425,132.0,63.77,51.0,28.3,38.8,104.6,78.7
Хлебороб,54.962818,70.464844,198,134.0,69.47,53.0,26.6,36.5,103.2,77.8
Суворовка,55.098549,70.318291,38,132.0,54.78,51.0,38.7,48.4,107.1,80.1
Тищенко,54.866947,70.56736,94,130.0,80.56,49.0,30.7,37.9,100.6,76.2
Чистовское,54.895565,70.625801,950,119.0,82.09,38.0,30.7,37.9,100.6,76.2
Украинка,54.844982,70.585289,23,129.0,82.86,48.0,26.9,34.2,99.1,75.3
Майбалык,54.296463,70.509888,235,131.0,38.13,32.0,14.1,21.3,85.2,67.5
Пулеметовка,54.552135,70.423721,133,130.0,67.0,31.0,21.2,28.1,99.5,75.4
Таманское,54.482517,70.512383,462,130.0,58.76,31.0,16.3,23.4,93.2,72.1
Косколь,54.4303762,70.6339942,101,128.0,52.94,34.0,15.6,22.7,87.3,68.8
Советское,54.4322207,70.3431847,1365,135.0,54.79,30.0,13.7,20.7,93.0,71.9
Шандак,54.436375,70.751198,154,126.0,54.35,39.0,13.5,20.3,83.4,66.6
Придорожное,54.498676,70.345047,264,131.0,61.98,26.0,14.5,21.4,96.9,74.0
Достык,54.7590514,70.3366645,207,132.0,74.85,46.0,29.4,37.3,104.4,78.3
